id,date,day_of_week,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1503960366,4/12/2016,Tue,13162,8.50,8.50,0.00,1.88,0.55,6.06,0.00,25,13,328,728,1985
1503960366,4/13/2016,Wed,10735,6.97,6.97,0.00,1.57,0.69,4.71,0.00,21,19,217,776,1797
1503960366,4/14/2016,Thu,10460,6.74,6.74,0.00,2.44,0.40,3.91,0.00,30,11,181,1218,1776
1503960366,4/15/2016,Fri,9762,6.28,6.28,0.00,2.14,1.26,2.83,0.00,29,34,209,726,1745
1503960366,4/16/2016,Sat,12669,8.16,8.16,0.00,2.71,0.41,5.04,0.00,36,10,221,773,1863
1503960366,4/17/2016,Sun,9705,6.48,6.48,0.00,3.19,0.78,2.51,0.00,38,20,164,539,1728
1503960366,4/18/2016,Mon,13019,8.59,8.59,0.00,3.25,0.64,4.71,0.00,42,16,233,1149,1921
1503960366,4/19/2016,Tue,15506,9.88,9.88,0.00,3.53,1.32,5.03,0.00,50,31,264,775,2035
1503960366,4/20/2016,Wed,10544,6.68,6.68,0.00,1.96,0.48,4.24,0.00,28,12,205,818,1786
1503960366,4/21/2016,Thu,9819,6.34,6.34,0.00,1.34,0.35,4.65,0.00,19,8,211,838,1775
1503960366,4/22/2016,Fri,12764,8.13,8.13,0.00,4.76,1.12,2.24,0.00,66,27,130,1217,1827
1503960366,4/23/2016,Sat,14371,9.04,9.04,0.00,2.81,0.87,5.36,0.00,41,21,262,732,1949
1503960366,4/24/2016,Sun,10039,6.41,6.41,0.00,2.92,0.21,3.28,0.00,39,5,238,709,1788
1503960366,4/25/2016,Mon,15355,9.80,9.80,0.00,5.29,0.57,3.94,0.00,73,14,216,814,2013
1503960366,4/26/2016,Tue,13755,8.79,8.79,0.00,2.33,0.92,5.54,0.00,31,23,279,833,1970
1503960366,4/27/2016,Wed,18134,12.21,12.21,0.00,6.40,0.41,5.41,0.00,78,11,243,1108,2159
1503960366,4/28/2016,Thu,13154,8.53,8.53,0.00,3.54,1.16,3.79,0.00,48,28,189,782,1898
1503960366,4/29/2016,Fri,11181,7.15,7.15,0.00,1.06,0.50,5.58,0.00,16,12,243,815,1837
1503960366,4/30/2016,Sat,14673,9.25,9.25,0.00,3.56,1.42,4.27,0.00,52,34,217,712,1947
1503960366,5/1/2016,Sun,10602,6.81,6.81,0.00,2.29,1.60,2.92,0.00,33,35,246,730,1820
1503960366,5/2/2016,Mon,14727,9.71,9.71,0.00,3.21,0.57,5.92,0.00,41,15,277,798,2004
1503960366,5/3/2016,Tue,15103,9.66,9.66,0.00,3.73,1.05,4.88,0.00,50,24,254,816,1990
1503960366,5/4/2016,Wed,11100,7.15,7.15,0.00,2.46,0.87,3.82,0.00,36,22,203,1179,1819
1503960366,5/5/2016,Thu,14070,8.90,8.90,0.00,2.92,1.08,4.88,0.00,45,24,250,857,1959
1503960366,5/6/2016,Fri,12159,8.03,8.03,0.00,1.97,0.25,5.81,0.00,24,6,289,754,1896
1503960366,5/7/2016,Sat,11992,7.71,7.71,0.00,2.46,2.12,3.13,0.00,37,46,175,833,1821
1503960366,5/8/2016,Sun,10060,6.58,6.58,0.00,3.53,0.32,2.73,0.00,44,8,203,574,1740
1503960366,5/9/2016,Mon,12022,7.72,7.72,0.00,3.45,0.53,3.74,0.00,46,11,206,835,1819
1503960366,5/10/2016,Tue,12207,7.77,7.77,0.00,3.35,1.16,3.26,0.00,46,31,214,746,1859
1503960366,5/11/2016,Wed,12770,8.13,8.13,0.00,2.56,1.01,4.55,0.00,36,23,251,669,1783
1503960366,5/12/2016,Thu,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0
1624580081,4/12/2016,Tue,8163,5.31,5.31,0.00,0.00,0.00,5.31,0.00,0,0,146,1294,1432
1624580081,4/13/2016,Wed,7007,4.55,4.55,0.00,0.00,0.00,4.55,0.00,0,0,148,1292,1411
1624580081,4/14/2016,Thu,9107,5.92,5.92,0.00,0.00,0.00,5.91,0.01,0,0,236,1204,1572
1624580081,4/15/2016,Fri,1510,0.98,0.98,0.00,0.00,0.00,0.97,0.00,0,0,96,1344,1344
1624580081,4/16/2016,Sat,5370,3.49,3.49,0.00,0.00,0.00,3.49,0.00,0,0,176,1264,1463
1624580081,4/17/2016,Sun,6175,4.06,4.06,0.00,1.03,1.52,1.49,0.01,15,22,127,1276,1554
1624580081,4/18/2016,Mon,10536,7.41,7.41,0.00,2.15,0.62,4.62,0.01,17,7,202,1214,1604
1624580081,4/19/2016,Tue,2916,1.90,1.90,0.00,0.00,0.00,1.90,0.00,0,0,141,1299,1435
1624580081,4/20/2016,Wed,4974,3.23,3.23,0.00,0.00,0.00,3.23,0.00,0,0,151,1289,1446
1624580081,4/21/2016,Thu,6349,4.13,4.13,0.00,0.00,0.00,4.11,0.02,0,0,186,1254,1467
1624580081,4/22/2016,Fri,4026,2.62,2.62,0.00,0.00,0.00,2.60,0.00,0,0,199,1241,1470
1624580081,4/23/2016,Sat,8538,5.55,5.55,0.00,0.00,0.00,5.54,0.01,0,0,227,1213,1562
1624580081,4/24/2016,Sun,6076,3.95,3.95,0.00,1.15,0.91,1.89,0.00,16,18,185,1221,1617
1624580081,4/25/2016,Mon,6497,4.22,4.22,0.00,0.00,0.00,4.20,0.02,0,0,202,1238,1492
1624580081,4/26/2016,Tue,2826,1.84,1.84,0.00,0.00,0.00,1.83,0.01,0,0,140,1300,1402
1624580081,4/27/2016,Wed,8367,5.44,5.44,0.00,1.11,1.87,2.46,0.00,17,36,154,1233,1670
1624580081,4/28/2016,Thu,2759,1.79,1.79,0.00,0.00,0.20,1.60,0.00,0,5,115,1320,1401
1624580081,4/29/2016,Fri,2390,1.55,1.55,0.00,0.00,0.00,1.55,0.00,0,0,150,1290,1404
1624580081,4/30/2016,Sat,6474,4.30,4.30,0.00,0.90,1.28,2.12,0.01,11,23,224,1182,1655
1624580081,5/1/2016,Sun,36019,28.03,28.03,0.00,21.92,4.19,1.91,0.02,186,63,171,1020,2690
1624580081,5/2/2016,Mon,7155,4.93,4.93,0.00,0.86,0.59,3.47,0.00,7,6,166,1261,1497
1624580081,5/3/2016,Tue,2100,1.37,1.37,0.00,0.00,0.00,1.34,0.02,0,0,96,1344,1334
1624580081,5/4/2016,Wed,2193,1.43,1.43,0.00,0.00,0.00,1.42,0.00,0,0,118,1322,1368
1624580081,5/5/2016,Thu,2470,1.61,1.61,0.00,0.00,0.00,1.58,0.02,0,0,117,1323,1370
1624580081,5/6/2016,Fri,1727,1.12,1.12,0.00,0.00,0.00,1.12,0.01,0,0,102,1338,1341
1624580081,5/7/2016,Sat,2104,1.37,1.37,0.00,0.00,0.00,1.37,0.00,0,0,182,1258,1474
1624580081,5/8/2016,Sun,3427,2.23,2.23,0.00,0.00,0.00,2.22,0.00,0,0,152,1288,1427
1624580081,5/9/2016,Mon,1732,1.13,1.13,0.00,0.00,0.00,1.13,0.00,0,0,91,1349,1328
1624580081,5/10/2016,Tue,2969,1.93,1.93,0.00,0.00,0.00,1.92,0.01,0,0,139,1301,1393
1624580081,5/11/2016,Wed,3134,2.04,2.04,0.00,0.00,0.00,2.04,0.00,0,0,112,1328,1359
1624580081,5/12/2016,Thu,2971,1.93,1.93,0.00,0.00,0.00,1.92,0.01,0,0,107,890,1002
1644430081,4/12/2016,Tue,10694,7.77,7.77,0.00,0.14,2.30,5.33,0.00,2,51,256,1131,3199
1644430081,4/13/2016,Wed,8001,5.82,5.82,0.00,2.28,0.90,2.64,0.00,30,16,135,1259,2902
1644430081,4/14/2016,Thu,11037,8.02,8.02,0.00,0.36,2.56,5.10,0.00,5,58,252,1125,3226
1644430081,4/15/2016,Fri,5263,3.83,3.83,0.00,0.22,0.15,3.45,0.00,3,4,170,1263,2750
1644430081,4/16/2016,Sat,15300,11.12,11.12,0.00,4.10,1.88,5.09,0.00,51,42,212,1135,3493
1644430081,4/17/2016,Sun,8757,6.37,6.37,0.00,2.25,0.57,3.55,0.00,29,13,186,1212,3011
1644430081,4/18/2016,Mon,7132,5.19,5.19,0.00,1.07,1.67,2.45,0.00,15,33,121,1271,2806
1644430081,4/19/2016,Tue,11256,8.18,8.18,0.00,0.36,2.53,5.30,0.00,5,58,278,1099,3300
1644430081,4/20/2016,Wed,2436,1.77,1.77,0.00,0.00,0.00,1.76,0.01,0,0,125,1315,2430
1644430081,4/21/2016,Thu,1223,0.89,0.89,0.00,0.00,0.00,0.88,0.01,0,0,38,1402,2140
1644430081,4/22/2016,Fri,3673,2.67,2.67,0.00,0.00,0.00,2.66,0.01,0,0,86,1354,2344
1644430081,4/23/2016,Sat,6637,4.83,4.83,0.00,0.00,0.58,4.25,0.00,0,15,160,1265,2677
1644430081,4/24/2016,Sun,3321,2.41,2.41,0.00,0.00,0.00,2.41,0.00,0,0,89,1351,2413
1644430081,4/25/2016,Mon,3580,2.60,2.60,0.00,0.59,0.06,1.95,0.00,8,1,94,1337,2497
1644430081,4/26/2016,Tue,9919,7.21,7.21,0.00,0.80,1.72,4.69,0.00,11,41,223,1165,3123
1644430081,4/27/2016,Wed,3032,2.20,2.20,0.00,0.00,0.00,2.20,0.00,0,0,118,1322,2489
1644430081,4/28/2016,Thu,9405,6.84,6.84,0.00,0.20,2.32,4.31,0.00,3,53,227,1157,3108
1644430081,4/29/2016,Fri,3176,2.31,2.31,0.00,0.00,0.00,2.31,0.00,0,0,120,1193,2498
1644430081,4/30/2016,Sat,18213,13.24,13.24,0.00,0.63,3.14,9.46,0.00,9,71,402,816,3846
1644430081,5/1/2016,Sun,6132,4.46,4.46,0.00,0.24,0.99,3.23,0.00,3,24,146,908,2696
1644430081,5/2/2016,Mon,3758,2.73,2.73,0.00,0.07,0.31,2.35,0.00,1,7,148,682,2580
1644430081,5/3/2016,Tue,12850,9.34,9.34,0.00,0.72,4.09,4.54,0.00,10,94,221,1115,3324
1644430081,5/4/2016,Wed,2309,1.68,1.68,0.00,0.00,0.00,1.66,0.02,0,0,52,1388,2222
1644430081,5/5/2016,Thu,4363,3.19,3.19,0.00,0.52,0.54,2.13,0.01,6,12,81,1341,2463
1644430081,5/6/2016,Fri,9787,7.12,7.12,0.00,0.82,0.27,6.01,0.02,11,6,369,1054,3328
1644430081,5/7/2016,Sat,13372,9.72,9.72,0.00,3.26,0.79,5.67,0.01,41,17,243,1139,3404
1644430081,5/8/2016,Sun,6724,4.89,4.89,0.00,0.00,0.00,4.88,0.00,0,0,295,991,2987
1644430081,5/9/2016,Mon,6643,4.83,4.83,0.00,2.39,0.35,2.09,0.01,32,6,303,1099,3008
1644430081,5/10/2016,Tue,9167,6.66,6.66,0.00,0.88,0.81,4.97,0.01,12,19,155,1254,2799
1644430081,5/11/2016,Wed,1329,0.97,0.97,0.00,0.00,0.00,0.95,0.01,0,0,49,713,1276
1844505072,4/12/2016,Tue,6697,4.43,4.43,0.00,0.00,0.00,4.43,0.00,0,0,339,1101,2030
1844505072,4/13/2016,Wed,4929,3.26,3.26,0.00,0.00,0.00,3.26,0.00,0,0,248,1192,1860
1844505072,4/14/2016,Thu,7937,5.25,5.25,0.00,0.00,0.00,5.23,0.00,0,0,373,843,2130
1844505072,4/15/2016,Fri,3844,2.54,2.54,0.00,0.00,0.00,2.54,0.00,0,0,176,527,1725
1844505072,4/16/2016,Sat,3414,2.26,2.26,0.00,0.00,0.00,2.26,0.00,0,0,147,1293,1657
1844505072,4/17/2016,Sun,4525,2.99,2.99,0.00,0.14,0.26,2.59,0.00,2,8,199,1231,1793
1844505072,4/18/2016,Mon,4597,3.04,3.04,0.00,0.00,0.48,2.56,0.00,0,12,217,1211,1814
1844505072,4/19/2016,Tue,197,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0,0,10,1430,1366
1844505072,4/20/2016,Wed,8,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0,0,1,1439,1349
1844505072,4/21/2016,Thu,8054,5.32,5.32,0.00,0.12,0.52,4.68,0.00,2,13,308,1117,2062
1844505072,4/22/2016,Fri,5372,3.55,3.55,0.00,0.00,0.00,3.55,0.00,0,0,220,1220,1827
1844505072,4/23/2016,Sat,3570,2.36,2.36,0.00,0.00,0.00,2.36,0.00,0,0,139,1301,1645
1844505072,4/24/2016,Sun,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347
1844505072,4/25/2016,Mon,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347
1844505072,4/26/2016,Tue,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347
1844505072,4/27/2016,Wed,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,1439,1348
1844505072,4/28/2016,Thu,6907,4.57,4.57,0.00,0.00,0.00,4.56,0.00,0,0,302,1138,1992
1844505072,4/29/2016,Fri,4920,3.25,3.25,0.00,0.00,0.00,3.25,0.00,0,0,247,1082,1856
1844505072,4/30/2016,Sat,4014,2.67,2.67,0.00,0.00,0.00,2.65,0.00,0,0,184,218,1763
1844505072,5/1/2016,Sun,2573,1.70,1.70,0.00,0.00,0.26,1.45,0.00,0,7,75,585,1541
1844505072,5/2/2016,Mon,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1348
1844505072,5/3/2016,Tue,4059,2.68,2.68,0.00,0.00,0.00,2.68,0.00,0,0,184,1256,1742
1844505072,5/4/2016,Wed,2080,1.37,1.37,0.00,0.00,0.00,1.37,0.00,0,0,87,1353,1549
1844505072,5/5/2016,Thu,2237,1.48,1.48,0.00,0.00,0.00,1.48,0.00,0,0,120,1320,1589
1844505072,5/6/2016,Fri,44,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0,0,2,1438,1351
1844505072,5/7/2016,Sat,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347
1844505072,5/8/2016,Sun,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347
