id,date,day_of_week,calories
1503960366,4/12/2016,Tue,1985
1503960366,4/13/2016,Wed,1797
1503960366,4/14/2016,Thu,1776
1503960366,4/15/2016,Fri,1745
1503960366,4/16/2016,Sat,1863
1503960366,4/17/2016,Sun,1728
1503960366,4/18/2016,Mon,1921
1503960366,4/19/2016,Tue,2035
1503960366,4/20/2016,Wed,1786
1503960366,4/21/2016,Thu,1775
1503960366,4/22/2016,Fri,1827
1503960366,4/23/2016,Sat,1949
1503960366,4/24/2016,Sun,1788
1503960366,4/25/2016,Mon,2013
1503960366,4/26/2016,Tue,1970
1503960366,4/27/2016,Wed,2159
1503960366,4/28/2016,Thu,1898
1503960366,4/29/2016,Fri,1837
1503960366,4/30/2016,Sat,1947
1503960366,5/1/2016,Sun,1820
1503960366,5/2/2016,Mon,2004
1503960366,5/3/2016,Tue,1990
1503960366,5/4/2016,Wed,1819
1503960366,5/5/2016,Thu,1959
1503960366,5/6/2016,Fri,1896
1503960366,5/7/2016,Sat,1821
1503960366,5/8/2016,Sun,1740
1503960366,5/9/2016,Mon,1819
1503960366,5/10/2016,Tue,1859
1503960366,5/11/2016,Wed,1783
1503960366,5/12/2016,Thu,0
1624580081,4/12/2016,Tue,1432
1624580081,4/13/2016,Wed,1411
1624580081,4/14/2016,Thu,1572
1624580081,4/15/2016,Fri,1344
1624580081,4/16/2016,Sat,1463
1624580081,4/17/2016,Sun,1554
1624580081,4/18/2016,Mon,1604
1624580081,4/19/2016,Tue,1435
1624580081,4/20/2016,Wed,1446
1624580081,4/21/2016,Thu,1467
1624580081,4/22/2016,Fri,1470
1624580081,4/23/2016,Sat,1562
1624580081,4/24/2016,Sun,1617
1624580081,4/25/2016,Mon,1492
1624580081,4/26/2016,Tue,1402
1624580081,4/27/2016,Wed,1670
1624580081,4/28/2016,Thu,1401
1624580081,4/29/2016,Fri,1404
1624580081,4/30/2016,Sat,1655
1624580081,5/1/2016,Sun,2690
1624580081,5/2/2016,Mon,1497
1624580081,5/3/2016,Tue,1334
1624580081,5/4/2016,Wed,1368
1624580081,5/5/2016,Thu,1370
1624580081,5/6/2016,Fri,1341
1624580081,5/7/2016,Sat,1474
1624580081,5/8/2016,Sun,1427
1624580081,5/9/2016,Mon,1328
1624580081,5/10/2016,Tue,1393
1624580081,5/11/2016,Wed,1359
1624580081,5/12/2016,Thu,1002
1644430081,4/12/2016,Tue,3199
1644430081,4/13/2016,Wed,2902
1644430081,4/14/2016,Thu,3226
1644430081,4/15/2016,Fri,2750
1644430081,4/16/2016,Sat,3493
1644430081,4/17/2016,Sun,3011
1644430081,4/18/2016,Mon,2806
1644430081,4/19/2016,Tue,3300
1644430081,4/20/2016,Wed,2430
1644430081,4/21/2016,Thu,2140
1644430081,4/22/2016,Fri,2344
1644430081,4/23/2016,Sat,2677
1644430081,4/24/2016,Sun,2413
1644430081,4/25/2016,Mon,2497
1644430081,4/26/2016,Tue,3123
1644430081,4/27/2016,Wed,2489
1644430081,4/28/2016,Thu,3108
1644430081,4/29/2016,Fri,2498
1644430081,4/30/2016,Sat,3846
1644430081,5/1/2016,Sun,2696
1644430081,5/2/2016,Mon,2580
1644430081,5/3/2016,Tue,3324
1644430081,5/4/2016,Wed,2222
1644430081,5/5/2016,Thu,2463
1644430081,5/6/2016,Fri,3328
1644430081,5/7/2016,Sat,3404
1644430081,5/8/2016,Sun,2987
1644430081,5/9/2016,Mon,3008
1644430081,5/10/2016,Tue,2799
1644430081,5/11/2016,Wed,1276
1844505072,4/12/2016,Tue,2030
1844505072,4/13/2016,Wed,1860
1844505072,4/14/2016,Thu,2130
1844505072,4/15/2016,Fri,1725
1844505072,4/16/2016,Sat,1657
1844505072,4/17/2016,Sun,1793
1844505072,4/18/2016,Mon,1814
1844505072,4/19/2016,Tue,1366
1844505072,4/20/2016,Wed,1349
1844505072,4/21/2016,Thu,2062
1844505072,4/22/2016,Fri,1827
1844505072,4/23/2016,Sat,1645
1844505072,4/24/2016,Sun,1347
1844505072,4/25/2016,Mon,1347
1844505072,4/26/2016,Tue,1347
1844505072,4/27/2016,Wed,1348
1844505072,4/28/2016,Thu,1992
1844505072,4/29/2016,Fri,1856
1844505072,4/30/2016,Sat,1763
1844505072,5/1/2016,Sun,1541
1844505072,5/2/2016,Mon,1348
1844505072,5/3/2016,Tue,1742
1844505072,5/4/2016,Wed,1549
1844505072,5/5/2016,Thu,1589
1844505072,5/6/2016,Fri,1351
1844505072,5/7/2016,Sat,1347
1844505072,5/8/2016,Sun,1347
1844505072,5/9/2016,Mon,1347
1844505072,5/10/2016,Tue,1347
1844505072,5/11/2016,Wed,1347
1844505072,5/12/2016,Thu,665
1927972279,4/12/2016,Tue,2220
1927972279,4/13/2016,Wed,2151
1927972279,4/14/2016,Thu,2383
1927972279,4/15/2016,Fri,2221
1927972279,4/16/2016,Sat,2064
1927972279,4/17/2016,Sun,2063
1927972279,4/18/2016,Mon,2111
1927972279,4/19/2016,Tue,2063
1927972279,4/20/2016,Wed,2063
1927972279,4/21/2016,Thu,2064
1927972279,4/22/2016,Fri,2093
1927972279,4/23/2016,Sat,2499
1927972279,4/24/2016,Sun,2324
1927972279,4/25/2016,Mon,2100
1927972279,4/26/2016,Tue,2638
1927972279,4/27/2016,Wed,2063
1927972279,4/28/2016,Thu,2351
1927972279,4/29/2016,Fri,2063
1927972279,4/30/2016,Sat,2064
1927972279,5/1/2016,Sun,2411
1927972279,5/2/2016,Mon,2505
1927972279,5/3/2016,Tue,2195
1927972279,5/4/2016,Wed,2338
1927972279,5/5/2016,Thu,2063
1927972279,5/6/2016,Fri,2383
1927972279,5/7/2016,Sat,2229
1927972279,5/8/2016,Sun,2063
1927972279,5/9/2016,Mon,2063
1927972279,5/10/2016,Tue,2063
1927972279,5/11/2016,Wed,2063
1927972279,5/12/2016,Thu,1383
2022484408,4/12/2016,Tue,2390
2022484408,4/13/2016,Wed,2601
2022484408,4/14/2016,Thu,2312
2022484408,4/15/2016,Fri,2525
2022484408,4/16/2016,Sat,2177
2022484408,4/17/2016,Sun,2782
2022484408,4/18/2016,Mon,2770
2022484408,4/19/2016,Tue,2489
2022484408,4/20/2016,Wed,2897
2022484408,4/21/2016,Thu,3158
2022484408,4/22/2016,Fri,2638
2022484408,4/23/2016,Sat,2069
2022484408,4/24/2016,Sun,2529
2022484408,4/25/2016,Mon,2470
2022484408,4/26/2016,Tue,2793
2022484408,4/27/2016,Wed,2463
2022484408,4/28/2016,Thu,2296
2022484408,4/29/2016,Fri,2611
2022484408,4/30/2016,Sat,2732
2022484408,5/1/2016,Sun,2380
2022484408,5/2/2016,Mon,2473
2022484408,5/3/2016,Tue,2752
2022484408,5/4/2016,Wed,2649
2022484408,5/5/2016,Thu,2609
2022484408,5/6/2016,Fri,2498
