"id","date","day_of_week","sedentary_minutes","lightly_active_minutes","fairly_active_minutes","very_active_minutes","sedentary_active_distance","light_active_distance","moderately_active_distance","very_active_distance","calories","total_steps","total_distance","tracker_distance","logged_activities_distance","steps_total"
1503960366,"4/12/2016","Tue",728,328,13,25,0,6.06,0.55,1.88,1985,13162,8.5,8.5,0,13162
1503960366,"4/13/2016","Wed",776,217,19,21,0,4.71,0.69,1.57,1797,10735,6.97,6.97,0,10735
1503960366,"4/14/2016","Thu",1218,181,11,30,0,3.91,0.4,2.44,1776,10460,6.74,6.74,0,10460
1503960366,"4/15/2016","Fri",726,209,34,29,0,2.83,1.26,2.14,1745,9762,6.28,6.28,0,9762
1503960366,"4/16/2016","Sat",773,221,10,36,0,5.04,0.41,2.71,1863,12669,8.16,8.16,0,12669
1503960366,"4/17/2016","Sun",539,164,20,38,0,2.51,0.78,3.19,1728,9705,6.48,6.48,0,9705
1503960366,"4/18/2016","Mon",1149,233,16,42,0,4.71,0.64,3.25,1921,13019,8.59,8.59,0,13019
1503960366,"4/19/2016","Tue",775,264,31,50,0,5.03,1.32,3.53,2035,15506,9.88,9.88,0,15506
1503960366,"4/20/2016","Wed",818,205,12,28,0,4.24,0.48,1.96,1786,10544,6.68,6.68,0,10544
1503960366,"4/21/2016","Thu",838,211,8,19,0,4.65,0.35,1.34,1775,9819,6.34,6.34,0,9819
1503960366,"4/22/2016","Fri",1217,130,27,66,0,2.24,1.12,4.76,1827,12764,8.13,8.13,0,12764
1503960366,"4/23/2016","Sat",732,262,21,41,0,5.36,0.87,2.81,1949,14371,9.04,9.04,0,14371
1503960366,"4/24/2016","Sun",709,238,5,39,0,3.28,0.21,2.92,1788,10039,6.41,6.41,0,10039
1503960366,"4/25/2016","Mon",814,216,14,73,0,3.94,0.57,5.29,2013,15355,9.8,9.8,0,15355
1503960366,"4/26/2016","Tue",833,279,23,31,0,5.54,0.92,2.33,1970,13755,8.79,8.79,0,13755
1503960366,"4/27/2016","Wed",1108,243,11,78,0,5.41,0.41,6.4,2159,18134,12.21,12.21,0,18134
1503960366,"4/28/2016","Thu",782,189,28,48,0,3.79,1.16,3.54,1898,13154,8.53,8.53,0,13154
1503960366,"4/29/2016","Fri",815,243,12,16,0,5.58,0.5,1.06,1837,11181,7.15,7.15,0,11181
1503960366,"4/30/2016","Sat",712,217,34,52,0,4.27,1.42,3.56,1947,14673,9.25,9.25,0,14673
1503960366,"5/1/2016","Sun",730,246,35,33,0,2.92,1.6,2.29,1820,10602,6.81,6.81,0,10602
1503960366,"5/10/2016","Tue",746,214,31,46,0,3.26,1.16,3.35,1859,12207,7.77,7.77,0,12207
1503960366,"5/11/2016","Wed",669,251,23,36,0,4.55,1.01,2.56,1783,12770,8.13,8.13,0,12770
1503960366,"5/12/2016","Thu",1440,0,0,0,0,0,0,0,0,0,0,0,0,0
1503960366,"5/2/2016","Mon",798,277,15,41,0,5.92,0.57,3.21,2004,14727,9.71,9.71,0,14727
1503960366,"5/3/2016","Tue",816,254,24,50,0,4.88,1.05,3.73,1990,15103,9.66,9.66,0,15103
1503960366,"5/4/2016","Wed",1179,203,22,36,0,3.82,0.87,2.46,1819,11100,7.15,7.15,0,11100
1503960366,"5/5/2016","Thu",857,250,24,45,0,4.88,1.08,2.92,1959,14070,8.9,8.9,0,14070
1503960366,"5/6/2016","Fri",754,289,6,24,0,5.81,0.25,1.97,1896,12159,8.03,8.03,0,12159
1503960366,"5/7/2016","Sat",833,175,46,37,0,3.13,2.12,2.46,1821,11992,7.71,7.71,0,11992
1503960366,"5/8/2016","Sun",574,203,8,44,0,2.73,0.32,3.53,1740,10060,6.58,6.58,0,10060
1503960366,"5/9/2016","Mon",835,206,11,46,0,3.74,0.53,3.45,1819,12022,7.72,7.72,0,12022
1624580081,"4/12/2016","Tue",1294,146,0,0,0,5.31,0,0,1432,8163,5.31,5.31,0,8163
1624580081,"4/13/2016","Wed",1292,148,0,0,0,4.55,0,0,1411,7007,4.55,4.55,0,7007
1624580081,"4/14/2016","Thu",1204,236,0,0,0.01,5.91,0,0,1572,9107,5.92,5.92,0,9107
1624580081,"4/15/2016","Fri",1344,96,0,0,0,0.97,0,0,1344,1510,0.98,0.98,0,1510
1624580081,"4/16/2016","Sat",1264,176,0,0,0,3.49,0,0,1463,5370,3.49,3.49,0,5370
1624580081,"4/17/2016","Sun",1276,127,22,15,0.01,1.49,1.52,1.03,1554,6175,4.06,4.06,0,6175
1624580081,"4/18/2016","Mon",1214,202,7,17,0.01,4.62,0.62,2.15,1604,10536,7.41,7.41,0,10536
1624580081,"4/19/2016","Tue",1299,141,0,0,0,1.9,0,0,1435,2916,1.9,1.9,0,2916
1624580081,"4/20/2016","Wed",1289,151,0,0,0,3.23,0,0,1446,4974,3.23,3.23,0,4974
1624580081,"4/21/2016","Thu",1254,186,0,0,0.02,4.11,0,0,1467,6349,4.13,4.13,0,6349
1624580081,"4/22/2016","Fri",1241,199,0,0,0,2.6,0,0,1470,4026,2.62,2.62,0,4026
1624580081,"4/23/2016","Sat",1213,227,0,0,0.01,5.54,0,0,1562,8538,5.55,5.55,0,8538
1624580081,"4/24/2016","Sun",1221,185,18,16,0,1.89,0.91,1.15,1617,6076,3.95,3.95,0,6076
1624580081,"4/25/2016","Mon",1238,202,0,0,0.02,4.2,0,0,1492,6497,4.22,4.22,0,6497
1624580081,"4/26/2016","Tue",1300,140,0,0,0.01,1.83,0,0,1402,2826,1.84,1.84,0,2826
1624580081,"4/27/2016","Wed",1233,154,36,17,0,2.46,1.87,1.11,1670,8367,5.44,5.44,0,8367
1624580081,"4/28/2016","Thu",1320,115,5,0,0,1.6,0.2,0,1401,2759,1.79,1.79,0,2759
1624580081,"4/29/2016","Fri",1290,150,0,0,0,1.55,0,0,1404,2390,1.55,1.55,0,2390
1624580081,"4/30/2016","Sat",1182,224,23,11,0.01,2.12,1.28,0.9,1655,6474,4.3,4.3,0,6474
1624580081,"5/1/2016","Sun",1020,171,63,186,0.02,1.91,4.19,21.92,2690,36019,28.03,28.03,0,36019
1624580081,"5/10/2016","Tue",1301,139,0,0,0.01,1.92,0,0,1393,2969,1.93,1.93,0,2969
1624580081,"5/11/2016","Wed",1328,112,0,0,0,2.04,0,0,1359,3134,2.04,2.04,0,3134
1624580081,"5/12/2016","Thu",890,107,0,0,0.01,1.92,0,0,1002,2971,1.93,1.93,0,2971
1624580081,"5/2/2016","Mon",1261,166,6,7,0,3.47,0.59,0.86,1497,7155,4.93,4.93,0,7155
1624580081,"5/3/2016","Tue",1344,96,0,0,0.02,1.34,0,0,1334,2100,1.37,1.37,0,2100
1624580081,"5/4/2016","Wed",1322,118,0,0,0,1.42,0,0,1368,2193,1.43,1.43,0,2193
1624580081,"5/5/2016","Thu",1323,117,0,0,0.02,1.58,0,0,1370,2470,1.61,1.61,0,2470
1624580081,"5/6/2016","Fri",1338,102,0,0,0.01,1.12,0,0,1341,1727,1.12,1.12,0,1727
1624580081,"5/7/2016","Sat",1258,182,0,0,0,1.37,0,0,1474,2104,1.37,1.37,0,2104
1624580081,"5/8/2016","Sun",1288,152,0,0,0,2.22,0,0,1427,3427,2.23,2.23,0,3427
1624580081,"5/9/2016","Mon",1349,91,0,0,0,1.13,0,0,1328,1732,1.13,1.13,0,1732
1644430081,"4/12/2016","Tue",1131,256,51,2,0,5.33,2.3,0.14,3199,10694,7.77,7.77,0,10694
1644430081,"4/13/2016","Wed",1259,135,16,30,0,2.64,0.9,2.28,2902,8001,5.82,5.82,0,8001
1644430081,"4/14/2016","Thu",1125,252,58,5,0,5.1,2.56,0.36,3226,11037,8.02,8.02,0,11037
1644430081,"4/15/2016","Fri",1263,170,4,3,0,3.45,0.15,0.22,2750,5263,3.83,3.83,0,5263
1644430081,"4/16/2016","Sat",1135,212,42,51,0,5.09,1.88,4.1,3493,15300,11.12,11.12,0,15300
1644430081,"4/17/2016","Sun",1212,186,13,29,0,3.55,0.57,2.25,3011,8757,6.37,6.37,0,8757
1644430081,"4/18/2016","Mon",1271,121,33,15,0,2.45,1.67,1.07,2806,7132,5.19,5.19,0,7132
1644430081,"4/19/2016","Tue",1099,278,58,5,0,5.3,2.53,0.36,3300,11256,8.18,8.18,0,11256
1644430081,"4/20/2016","Wed",1315,125,0,0,0.01,1.76,0,0,2430,2436,1.77,1.77,0,2436
1644430081,"4/21/2016","Thu",1402,38,0,0,0.01,0.88,0,0,2140,1223,0.89,0.89,0,1223
1644430081,"4/22/2016","Fri",1354,86,0,0,0.01,2.66,0,0,2344,3673,2.67,2.67,0,3673
1644430081,"4/23/2016","Sat",1265,160,15,0,0,4.25,0.58,0,2677,6637,4.83,4.83,0,6637
1644430081,"4/24/2016","Sun",1351,89,0,0,0,2.41,0,0,2413,3321,2.41,2.41,0,3321
1644430081,"4/25/2016","Mon",1337,94,1,8,0,1.95,0.06,0.59,2497,3580,2.6,2.6,0,3580
1644430081,"4/26/2016","Tue",1165,223,41,11,0,4.69,1.72,0.8,3123,9919,7.21,7.21,0,9919
1644430081,"4/27/2016","Wed",1322,118,0,0,0,2.2,0,0,2489,3032,2.2,2.2,0,3032
1644430081,"4/28/2016","Thu",1157,227,53,3,0,4.31,2.32,0.2,3108,9405,6.84,6.84,0,9405
1644430081,"4/29/2016","Fri",1193,120,0,0,0,2.31,0,0,2498,3176,2.31,2.31,0,3176
1644430081,"4/30/2016","Sat",816,402,71,9,0,9.46,3.14,0.63,3846,18213,13.24,13.24,0,18213
1644430081,"5/1/2016","Sun",908,146,24,3,0,3.23,0.99,0.24,2696,6132,4.46,4.46,0,6132
1644430081,"5/10/2016","Tue",1254,155,19,12,0.01,4.97,0.81,0.88,2799,9167,6.66,6.66,0,9167
1644430081,"5/11/2016","Wed",713,49,0,0,0.01,0.95,0,0,1276,1329,0.97,0.97,0,1329
1644430081,"5/2/2016","Mon",682,148,7,1,0,2.35,0.31,0.07,2580,3758,2.73,2.73,0,3758
1644430081,"5/3/2016","Tue",1115,221,94,10,0,4.54,4.09,0.72,3324,12850,9.34,9.34,0,12850
1644430081,"5/4/2016","Wed",1388,52,0,0,0.02,1.66,0,0,2222,2309,1.68,1.68,0,2309
1644430081,"5/5/2016","Thu",1341,81,12,6,0.01,2.13,0.54,0.52,2463,4363,3.19,3.19,0,4363
1644430081,"5/6/2016","Fri",1054,369,6,11,0.02,6.01,0.27,0.82,3328,9787,7.12,7.12,0,9787
1644430081,"5/7/2016","Sat",1139,243,17,41,0.01,5.67,0.79,3.26,3404,13372,9.72,9.72,0,13372
1644430081,"5/8/2016","Sun",991,295,0,0,0,4.88,0,0,2987,6724,4.89,4.89,0,6724
1644430081,"5/9/2016","Mon",1099,303,6,32,0.01,2.09,0.35,2.39,3008,6643,4.83,4.83,0,6643
1844505072,"4/12/2016","Tue",1101,339,0,0,0,4.43,0,0,2030,6697,4.43,4.43,0,6697
1844505072,"4/13/2016","Wed",1192,248,0,0,0,3.26,0,0,1860,4929,3.26,3.26,0,4929
1844505072,"4/14/2016","Thu",843,373,0,0,0,5.23,0,0,2130,7937,5.25,5.25,0,7937
1844505072,"4/15/2016","Fri",527,176,0,0,0,2.54,0,0,1725,3844,2.54,2.54,0,3844
1844505072,"4/16/2016","Sat",1293,147,0,0,0,2.26,0,0,1657,3414,2.26,2.26,0,3414
1844505072,"4/17/2016","Sun",1231,199,8,2,0,2.59,0.26,0.14,1793,4525,2.99,2.99,0,4525
