id,date,day_of_week,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes,sedentary_active_distance,light_active_distance,moderately_active_distance,very_active_distance
1503960366,4/12/2016,Tue,728,328,13,25,0.00,6.06,0.55,1.88
1503960366,4/13/2016,Wed,776,217,19,21,0.00,4.71,0.69,1.57
1503960366,4/14/2016,Thu,1218,181,11,30,0.00,3.91,0.40,2.44
1503960366,4/15/2016,Fri,726,209,34,29,0.00,2.83,1.26,2.14
1503960366,4/16/2016,Sat,773,221,10,36,0.00,5.04,0.41,2.71
1503960366,4/17/2016,Sun,539,164,20,38,0.00,2.51,0.78,3.19
1503960366,4/18/2016,Mon,1149,233,16,42,0.00,4.71,0.64,3.25
1503960366,4/19/2016,Tue,775,264,31,50,0.00,5.03,1.32,3.53
1503960366,4/20/2016,Wed,818,205,12,28,0.00,4.24,0.48,1.96
1503960366,4/21/2016,Thu,838,211,8,19,0.00,4.65,0.35,1.34
1503960366,4/22/2016,Fri,1217,130,27,66,0.00,2.24,1.12,4.76
1503960366,4/23/2016,Sat,732,262,21,41,0.00,5.36,0.87,2.81
1503960366,4/24/2016,Sun,709,238,5,39,0.00,3.28,0.21,2.92
1503960366,4/25/2016,Mon,814,216,14,73,0.00,3.94,0.57,5.29
1503960366,4/26/2016,Tue,833,279,23,31,0.00,5.54,0.92,2.33
1503960366,4/27/2016,Wed,1108,243,11,78,0.00,5.41,0.41,6.40
1503960366,4/28/2016,Thu,782,189,28,48,0.00,3.79,1.16,3.54
1503960366,4/29/2016,Fri,815,243,12,16,0.00,5.58,0.50,1.06
1503960366,4/30/2016,Sat,712,217,34,52,0.00,4.27,1.42,3.56
1503960366,5/1/2016,Sun,730,246,35,33,0.00,2.92,1.60,2.29
1503960366,5/2/2016,Mon,798,277,15,41,0.00,5.92,0.57,3.21
1503960366,5/3/2016,Tue,816,254,24,50,0.00,4.88,1.05,3.73
1503960366,5/4/2016,Wed,1179,203,22,36,0.00,3.82,0.87,2.46
1503960366,5/5/2016,Thu,857,250,24,45,0.00,4.88,1.08,2.92
1503960366,5/6/2016,Fri,754,289,6,24,0.00,5.81,0.25,1.97
1503960366,5/7/2016,Sat,833,175,46,37,0.00,3.13,2.12,2.46
1503960366,5/8/2016,Sun,574,203,8,44,0.00,2.73,0.32,3.53
1503960366,5/9/2016,Mon,835,206,11,46,0.00,3.74,0.53,3.45
1503960366,5/10/2016,Tue,746,214,31,46,0.00,3.26,1.16,3.35
1503960366,5/11/2016,Wed,669,251,23,36,0.00,4.55,1.01,2.56
1503960366,5/12/2016,Thu,1440,0,0,0,0.00,0.00,0.00,0.00
1624580081,4/12/2016,Tue,1294,146,0,0,0.00,5.31,0.00,0.00
1624580081,4/13/2016,Wed,1292,148,0,0,0.00,4.55,0.00,0.00
1624580081,4/14/2016,Thu,1204,236,0,0,0.01,5.91,0.00,0.00
1624580081,4/15/2016,Fri,1344,96,0,0,0.00,0.97,0.00,0.00
1624580081,4/16/2016,Sat,1264,176,0,0,0.00,3.49,0.00,0.00
1624580081,4/17/2016,Sun,1276,127,22,15,0.01,1.49,1.52,1.03
1624580081,4/18/2016,Mon,1214,202,7,17,0.01,4.62,0.62,2.15
1624580081,4/19/2016,Tue,1299,141,0,0,0.00,1.90,0.00,0.00
1624580081,4/20/2016,Wed,1289,151,0,0,0.00,3.23,0.00,0.00
1624580081,4/21/2016,Thu,1254,186,0,0,0.02,4.11,0.00,0.00
1624580081,4/22/2016,Fri,1241,199,0,0,0.00,2.60,0.00,0.00
1624580081,4/23/2016,Sat,1213,227,0,0,0.01,5.54,0.00,0.00
1624580081,4/24/2016,Sun,1221,185,18,16,0.00,1.89,0.91,1.15
1624580081,4/25/2016,Mon,1238,202,0,0,0.02,4.20,0.00,0.00
1624580081,4/26/2016,Tue,1300,140,0,0,0.01,1.83,0.00,0.00
1624580081,4/27/2016,Wed,1233,154,36,17,0.00,2.46,1.87,1.11
1624580081,4/28/2016,Thu,1320,115,5,0,0.00,1.60,0.20,0.00
1624580081,4/29/2016,Fri,1290,150,0,0,0.00,1.55,0.00,0.00
1624580081,4/30/2016,Sat,1182,224,23,11,0.01,2.12,1.28,0.90
1624580081,5/1/2016,Sun,1020,171,63,186,0.02,1.91,4.19,21.92
1624580081,5/2/2016,Mon,1261,166,6,7,0.00,3.47,0.59,0.86
1624580081,5/3/2016,Tue,1344,96,0,0,0.02,1.34,0.00,0.00
1624580081,5/4/2016,Wed,1322,118,0,0,0.00,1.42,0.00,0.00
1624580081,5/5/2016,Thu,1323,117,0,0,0.02,1.58,0.00,0.00
1624580081,5/6/2016,Fri,1338,102,0,0,0.01,1.12,0.00,0.00
1624580081,5/7/2016,Sat,1258,182,0,0,0.00,1.37,0.00,0.00
1624580081,5/8/2016,Sun,1288,152,0,0,0.00,2.22,0.00,0.00
1624580081,5/9/2016,Mon,1349,91,0,0,0.00,1.13,0.00,0.00
1624580081,5/10/2016,Tue,1301,139,0,0,0.01,1.92,0.00,0.00
1624580081,5/11/2016,Wed,1328,112,0,0,0.00,2.04,0.00,0.00
1624580081,5/12/2016,Thu,890,107,0,0,0.01,1.92,0.00,0.00
1644430081,4/12/2016,Tue,1131,256,51,2,0.00,5.33,2.30,0.14
1644430081,4/13/2016,Wed,1259,135,16,30,0.00,2.64,0.90,2.28
