id,date,day_of_week,steps_total
1503960366,4/12/2016,Tue,13162
1503960366,4/13/2016,Wed,10735
1503960366,4/14/2016,Thu,10460
1503960366,4/15/2016,Fri,9762
1503960366,4/16/2016,Sat,12669
1503960366,4/17/2016,Sun,9705
1503960366,4/18/2016,Mon,13019
1503960366,4/19/2016,Tue,15506
1503960366,4/20/2016,Wed,10544
1503960366,4/21/2016,Thu,9819
1503960366,4/22/2016,Fri,12764
1503960366,4/23/2016,Sat,14371
1503960366,4/24/2016,Sun,10039
1503960366,4/25/2016,Mon,15355
1503960366,4/26/2016,Tue,13755
1503960366,4/27/2016,Wed,18134
1503960366,4/28/2016,Thu,13154
1503960366,4/29/2016,Fri,11181
1503960366,4/30/2016,Sat,14673
1503960366,5/1/2016,Sun,10602
1503960366,5/2/2016,Mon,14727
1503960366,5/3/2016,Tue,15103
1503960366,5/4/2016,Wed,11100
1503960366,5/5/2016,Thu,14070
1503960366,5/6/2016,Fri,12159
1503960366,5/7/2016,Sat,11992
1503960366,5/8/2016,Sun,10060
1503960366,5/9/2016,Mon,12022
1503960366,5/10/2016,Tue,12207
1503960366,5/11/2016,Wed,12770
1503960366,5/12/2016,Thu,0
1624580081,4/12/2016,Tue,8163
1624580081,4/13/2016,Wed,7007
1624580081,4/14/2016,Thu,9107
1624580081,4/15/2016,Fri,1510
1624580081,4/16/2016,Sat,5370
1624580081,4/17/2016,Sun,6175
1624580081,4/18/2016,Mon,10536
1624580081,4/19/2016,Tue,2916
1624580081,4/20/2016,Wed,4974
1624580081,4/21/2016,Thu,6349
1624580081,4/22/2016,Fri,4026
1624580081,4/23/2016,Sat,8538
1624580081,4/24/2016,Sun,6076
1624580081,4/25/2016,Mon,6497
1624580081,4/26/2016,Tue,2826
1624580081,4/27/2016,Wed,8367
1624580081,4/28/2016,Thu,2759
1624580081,4/29/2016,Fri,2390
1624580081,4/30/2016,Sat,6474
1624580081,5/1/2016,Sun,36019
1624580081,5/2/2016,Mon,7155
1624580081,5/3/2016,Tue,2100
1624580081,5/4/2016,Wed,2193
1624580081,5/5/2016,Thu,2470
1624580081,5/6/2016,Fri,1727
1624580081,5/7/2016,Sat,2104
1624580081,5/8/2016,Sun,3427
1624580081,5/9/2016,Mon,1732
1624580081,5/10/2016,Tue,2969
1624580081,5/11/2016,Wed,3134
1624580081,5/12/2016,Thu,2971
1644430081,4/12/2016,Tue,10694
1644430081,4/13/2016,Wed,8001
1644430081,4/14/2016,Thu,11037
1644430081,4/15/2016,Fri,5263
1644430081,4/16/2016,Sat,15300
1644430081,4/17/2016,Sun,8757
1644430081,4/18/2016,Mon,7132
1644430081,4/19/2016,Tue,11256
1644430081,4/20/2016,Wed,2436
1644430081,4/21/2016,Thu,1223
1644430081,4/22/2016,Fri,3673
1644430081,4/23/2016,Sat,6637
1644430081,4/24/2016,Sun,3321
1644430081,4/25/2016,Mon,3580
1644430081,4/26/2016,Tue,9919
1644430081,4/27/2016,Wed,3032
1644430081,4/28/2016,Thu,9405
1644430081,4/29/2016,Fri,3176
1644430081,4/30/2016,Sat,18213
1644430081,5/1/2016,Sun,6132
1644430081,5/2/2016,Mon,3758
1644430081,5/3/2016,Tue,12850
1644430081,5/4/2016,Wed,2309
1644430081,5/5/2016,Thu,4363
1644430081,5/6/2016,Fri,9787
1644430081,5/7/2016,Sat,13372
1644430081,5/8/2016,Sun,6724
1644430081,5/9/2016,Mon,6643
1644430081,5/10/2016,Tue,9167
1644430081,5/11/2016,Wed,1329
1844505072,4/12/2016,Tue,6697
1844505072,4/13/2016,Wed,4929
1844505072,4/14/2016,Thu,7937
1844505072,4/15/2016,Fri,3844
1844505072,4/16/2016,Sat,3414
1844505072,4/17/2016,Sun,4525
1844505072,4/18/2016,Mon,4597
1844505072,4/19/2016,Tue,197
1844505072,4/20/2016,Wed,8
1844505072,4/21/2016,Thu,8054
1844505072,4/22/2016,Fri,5372
1844505072,4/23/2016,Sat,3570
1844505072,4/24/2016,Sun,0
1844505072,4/25/2016,Mon,0
1844505072,4/26/2016,Tue,0
1844505072,4/27/2016,Wed,4
1844505072,4/28/2016,Thu,6907
1844505072,4/29/2016,Fri,4920
1844505072,4/30/2016,Sat,4014
1844505072,5/1/2016,Sun,2573
1844505072,5/2/2016,Mon,0
1844505072,5/3/2016,Tue,4059
1844505072,5/4/2016,Wed,2080
1844505072,5/5/2016,Thu,2237
1844505072,5/6/2016,Fri,44
1844505072,5/7/2016,Sat,0
1844505072,5/8/2016,Sun,0
1844505072,5/9/2016,Mon,0
1844505072,5/10/2016,Tue,0
1844505072,5/11/2016,Wed,0
1844505072,5/12/2016,Thu,0
1927972279,4/12/2016,Tue,678
1927972279,4/13/2016,Wed,356
1927972279,4/14/2016,Thu,2163
1927972279,4/15/2016,Fri,980
1927972279,4/16/2016,Sat,0
1927972279,4/17/2016,Sun,0
1927972279,4/18/2016,Mon,244
1927972279,4/19/2016,Tue,0
1927972279,4/20/2016,Wed,0
1927972279,4/21/2016,Thu,0
1927972279,4/22/2016,Fri,149
1927972279,4/23/2016,Sat,2945
1927972279,4/24/2016,Sun,2090
1927972279,4/25/2016,Mon,152
1927972279,4/26/2016,Tue,3761
1927972279,4/27/2016,Wed,0
1927972279,4/28/2016,Thu,1675
1927972279,4/29/2016,Fri,0
1927972279,4/30/2016,Sat,0
1927972279,5/1/2016,Sun,2704
1927972279,5/2/2016,Mon,3790
1927972279,5/3/2016,Tue,1326
1927972279,5/4/2016,Wed,1786
1927972279,5/5/2016,Thu,0
