"id","date","day_of_week","sedentary_minutes","lightly_active_minutes","fairly_active_minutes","very_active_minutes","sedentary_active_distance","light_active_distance","moderately_active_distance","very_active_distance","calories","total_steps","total_distance","tracker_distance","logged_activities_distance","steps_total","total_sleep_records","total_minutes_asleep","total_time_in_bed"
1503960366,"4/12/2016","Tue",728,328,13,25,0,6.06,0.55,1.88,1985,13162,8.5,8.5,0,13162,1,327,346
1503960366,"4/13/2016","Wed",776,217,19,21,0,4.71,0.69,1.57,1797,10735,6.97,6.97,0,10735,2,384,407
1503960366,"4/15/2016","Fri",726,209,34,29,0,2.83,1.26,2.14,1745,9762,6.28,6.28,0,9762,1,412,442
1503960366,"4/16/2016","Sat",773,221,10,36,0,5.04,0.41,2.71,1863,12669,8.16,8.16,0,12669,2,340,367
1503960366,"4/17/2016","Sun",539,164,20,38,0,2.51,0.78,3.19,1728,9705,6.48,6.48,0,9705,1,700,712
1503960366,"4/19/2016","Tue",775,264,31,50,0,5.03,1.32,3.53,2035,15506,9.88,9.88,0,15506,1,304,320
1503960366,"4/20/2016","Wed",818,205,12,28,0,4.24,0.48,1.96,1786,10544,6.68,6.68,0,10544,1,360,377
1503960366,"4/21/2016","Thu",838,211,8,19,0,4.65,0.35,1.34,1775,9819,6.34,6.34,0,9819,1,325,364
1503960366,"4/23/2016","Sat",732,262,21,41,0,5.36,0.87,2.81,1949,14371,9.04,9.04,0,14371,1,361,384
1503960366,"4/24/2016","Sun",709,238,5,39,0,3.28,0.21,2.92,1788,10039,6.41,6.41,0,10039,1,430,449
1503960366,"4/25/2016","Mon",814,216,14,73,0,3.94,0.57,5.29,2013,15355,9.8,9.8,0,15355,1,277,323
1503960366,"4/26/2016","Tue",833,279,23,31,0,5.54,0.92,2.33,1970,13755,8.79,8.79,0,13755,1,245,274
1503960366,"4/28/2016","Thu",782,189,28,48,0,3.79,1.16,3.54,1898,13154,8.53,8.53,0,13154,1,366,393
1503960366,"4/29/2016","Fri",815,243,12,16,0,5.58,0.5,1.06,1837,11181,7.15,7.15,0,11181,1,341,354
1503960366,"4/30/2016","Sat",712,217,34,52,0,4.27,1.42,3.56,1947,14673,9.25,9.25,0,14673,1,404,425
1503960366,"5/1/2016","Sun",730,246,35,33,0,2.92,1.6,2.29,1820,10602,6.81,6.81,0,10602,1,369,396
1503960366,"5/10/2016","Tue",746,214,31,46,0,3.26,1.16,3.35,1859,12207,7.77,7.77,0,12207,1,383,403
1503960366,"5/11/2016","Wed",669,251,23,36,0,4.55,1.01,2.56,1783,12770,8.13,8.13,0,12770,1,285,306
1503960366,"5/2/2016","Mon",798,277,15,41,0,5.92,0.57,3.21,2004,14727,9.71,9.71,0,14727,1,277,309
1503960366,"5/3/2016","Tue",816,254,24,50,0,4.88,1.05,3.73,1990,15103,9.66,9.66,0,15103,1,273,296
1503960366,"5/5/2016","Thu",857,250,24,45,0,4.88,1.08,2.92,1959,14070,8.9,8.9,0,14070,1,247,264
1503960366,"5/6/2016","Fri",754,289,6,24,0,5.81,0.25,1.97,1896,12159,8.03,8.03,0,12159,1,334,367
1503960366,"5/7/2016","Sat",833,175,46,37,0,3.13,2.12,2.46,1821,11992,7.71,7.71,0,11992,1,331,349
